data_extracao;codigo;nome;telefone;logradouro;numero;latitude;longitude
10/03/2020 01:58;377;NEUSA GOULART BRIZOLA X VICENTE DA FONT.; ;AV NEUSA GOULART BRIZOLA ;2629;-30,03977721;-51,19740613
10/03/2020 01:58;477;Vigário José Inácio x Gal. Vitorino;;R VIGARIO JOSE IGNACIO;535;-30,028339;-51,228538
10/03/2020 01:58;247;ANNES DIAS X INDEPENDENCIA; ;R PROF ANNES DIAS ;285;-30,02973359;-51,22188317
10/03/2020 01:58;108;DIVINO;3321-4545 ;AV JOSE BONIFACIO ;753;-30,03642027;-51,21034324
10/03/2020 01:58;424;GENL LIMA E SILVA X LOUREIRO DA SILVA; ;R GEN LIMA E SILVA ;200;-30,03576654;-51,22469199
10/03/2020 01:58;8;HOSPITAL DA PUC;3336-5921 ;AV IPIRANGA ;6690;-30,05747143;-51,17640599
10/03/2020 01:58;62;JOSÉ INÁCIO DA SILVA C/ BRASILIANO ÍNDIO DE MORAIS;3341-8280 ;R MARECHAL JOSE INACIO DA SILVA ;17;-30,00920523;-51,17901627
10/03/2020 01:58;141;DEZESSETE DE JUNHO X GETÚLIO VARGAS;3227-9786 ;R DEZESSETE DE JUNHO ;755;-30,04750079;-51,2216566
10/03/2020 01:58;91;CENTRO CLÍNICO MÃE DE DEUS;3231-9591 ;R COSTA ;30;-30,05834711;-51,2295361
10/03/2020 01:58;116;VALPARAÍSO X BARÃO DO AMAZONAS;3336-2748 ;R VALPARAISO ;539;-30,05342791;-51,18881124
10/03/2020 01:58;204;VASCO ALVES X DUQUE DE CAXIAS; ;R GEN VASCO ALVES ;339;-30,03444367;-51,23820444
10/03/2020 01:58;455;DOM PEDRO X AMÉRICO VESPÚCIO; ;R DOM PEDRO II ;592;-30,0123853;-51,18813162
10/03/2020 01:58;471;Gomes Jardim x Leopoldo Bier;;R GOMES JARDIM;253;-30,028339;-51,228538
10/03/2020 01:58;389;RAMIRO BARCELOS X MOSTARDEIROS; ;R RAMIRO BARCELOS ;1101;-30,02863284;-51,20864241
10/03/2020 01:58;388;PRAIA DE BELAS X COSTA; ;AV PRAIA DE BELAS ;2254;-30,05837546;-51,22986892
10/03/2020 01:58;52;JOÃO ABOTT X PROTÁSIO ALVES;3331-1212 ;R JOAO ABBOTT ;12;-30,04277418;-51,18959728
10/03/2020 01:58;134;PRAÇA JULIO DE CASTILHOS;3222-5845 ;PRAÇA JÚLIO DE CASTILHOS ;19;-30,02891414;-51,20835081
10/03/2020 01:58;114;HOSPITAL BANCO DE OLHOS;3344-5513 ;R ENG WALTER BOEHL ;285;-30,02207408;-51,15385726
10/03/2020 01:58;334;ENIO AVELINI DA ROCHA X EDUARDO PRADO; ;R ENIO AVELINE DA ROCHA ;8;-30,13050518;-51,21811259
10/03/2020 01:58;394;SÃO SIMÃO X PROTASIO ALVES; ;R SAO SIMAO ;49;-30,04148678;-51,16941532
10/03/2020 01:58;429;PLINIO BRASIL MILANO; ;AV PLINIO BRASIL MILANO ;2175;-30,01560236;-51,17185841
10/03/2020 01:58;110;FELIZARDO X BARÃO DO AMAZONAS;3332-4977 ;R FELIZARDO ;300;-30,04991147;-51,18684871
10/03/2020 01:58;90;PROTASIO ALVES X PROF. DUPLAN;3388-8796 ;R PROF DUPLAN ;14;-30,03887491;-51,20105064
10/03/2020 01:58;81;CONDOMÍNIO JARDIM AMÉRICA;3217-0833 ;R MOYSES ANTUNES DA CUNHA ;55;-30,06012301;-51,20658089
10/03/2020 01:58;457;BELIZE X JOÃO ANTÔNIO DA SILVEIRA; ;RUA BELIZE ;100;-30,15627788;-51,14082157
10/03/2020 01:58;430;PROTÁSIO ALVES X JAIME TELLES; ;AV PROTASIO ALVES ;1578;-30,040967;-51,19210847
10/03/2020 01:58;133;BENTO GONÇALVES X APARÍCIO BORGES;3339-2633 ;AV BENTO GONCALVES;2905;-30,06388806;-51,18601299
10/03/2020 01:58;467;BECO SOUZA COSTA X AV PROTASIO ALVES; ;BC SOUZA COSTA ;58;-30,04347294;-51,13689039
10/03/2020 01:58;363;PROF. LANGENDONCK X PROTASIO ALVES; ;R PROF LANGENDONCK ;37;-30,04344256;-51,18925842
10/03/2020 01:58;378;NILOPOLIS X CARAZINHO; ;AV NILOPOLIS ;540;-30,03672054;-51,18702557
10/03/2020 01:58;487;Bento Gonçalves 1515;;AV BENTO GONCALVES;1515;-30,0564656;-51,19809151
10/03/2020 01:58;146;RODOVIÁRIA (ANEXO/NOTURNO); ;R DA CONCEICAO ;120;-30,02426168;-51,21955203
10/03/2020 01:58;419;PRES FRANKLIN ROOSEVELT X SERTÓRIO; ;AV PRESIDENTE FRANKLIN ROOSEVELT ;168;-30,00139861;-51,20034664
